 ,Area,Mean,Min,Max,Angle,Length
1,0.001,19.044,7.333,25.548,55.008,0.122
2,0.001,10.343,4.878,18.082,72.897,0.135
3,7.525E-4,7.582,4.095,12.667,113.199,0.070
4,0.001,11.115,5.903,15.454,59.036,0.122
5,0.001,8.413,2.333,13.704,80.538,0.119
6,5.643E-4,17.287,10.040,25.560,101.310,0.053
7,0.001,20.681,11.911,26.333,78.690,0.107
8,0.001,9.568,3.000,17.111,24.444,0.116
9,8.465E-4,6.716,2.000,18.000,135.000,0.073
10,0.002,7.848,0.222,15.319,90.000,0.142
11,0.006,10.228,2.409,19.686,21.644,0.656
12,0.001,7.331,1.098,12.213,66.038,0.098
13,9.406E-4,9.093,4.333,16.321,90.000,0.091
14,0.051,17.938,7.333,24.000,-8.130,0.825
15,0.031,9.265,5.333,13.556,97.125,0.473
16,0.020,11.556,4.000,18.000,135.000,0.304
17,0.027,11.889,1.333,17.571,8.130,0.391
18,0.027,14.773,6.333,20.197,146.310,0.421
19,0.027,18.028,10.000,23.000,128.660,0.389
20,0.027,13.325,3.000,20.490,81.870,0.430
21,0.024,19.533,12.963,25.074,149.036,0.367
22,0.034,8.729,2.963,15.044,84.289,0.550
23,0.044,10.929,2.667,16.000,59.036,0.681
24,0.031,12.556,3.000,19.333,0.000,0.467
25,0.031,20.332,8.111,28.000,39.806,0.444
26,0.034,8.331,2.667,15.444,69.444,0.506
27,0.034,14.507,3.333,22.778,49.399,0.523
28,0.055,23.018,16.200,27.822,66.801,0.853
29,0.034,21.122,13.000,26.000,77.471,0.529
30,0.020,19.311,10.000,24.067,36.870,0.304
31,0.017,14.167,8.000,22.111,104.036,0.237
32,0.024,18.185,10.000,24.778,51.340,0.359
33,0.024,12.892,2.444,19.000,59.036,0.367
34,0.041,19.630,11.515,23.788,48.366,0.663
35,0.017,9.911,4.222,13.000,75.964,0.237
36,0.024,12.986,3.309,20.704,56.310,0.367
37,0.017,17.933,12.333,23.000,146.310,0.220
38,0.055,20.552,8.000,25.045,45.000,0.880
39,0.020,14.951,4.333,20.000,63.435,0.314
40,0.027,8.665,0.000,12.222,113.199,0.419
41,0.017,11.422,3.444,19.333,14.036,0.246
42,0.020,16.717,8.222,20.680,14.036,0.275
43,0.014,16.753,10.000,20.778,108.435,0.160
44,0.061,18.871,4.556,23.298,72.646,0.973
45,0.024,17.302,3.333,23.222,51.340,0.359
46,0.024,11.381,3.000,15.444,-9.462,0.359
47,9.406E-4,10.707,2.514,18.156,83.660,0.091
