 ,Area,Mean,Min,Max,Angle,Length
1,0.007,15.203,7.176,22.000,163.301,0.457
2,0.003,17.000,6.000,23.000,90.000,0.160
3,0.002,11.146,5.000,16.000,150.255,0.118
4,0.002,8.267,1.000,13.778,77.471,0.134
5,0.002,9.642,4.480,16.000,113.962,0.144
6,0.003,11.561,2.000,16.909,169.695,0.163
7,0.004,9.141,2.000,20.112,130.914,0.289
8,0.002,6.535,2.383,16.000,153.435,0.130
9,0.003,12.791,4.595,20.041,26.565,0.163
10,0.005,9.266,2.000,18.261,82.569,0.338
11,0.006,12.844,4.000,20.765,57.995,0.413
12,0.007,10.301,1.000,20.647,6.710,0.499
13,0.003,15.097,11.500,21.000,-55.008,0.178
14,0.007,9.772,3.484,18.227,-55.305,0.461
15,0.006,12.528,4.000,19.963,-18.435,0.369
16,0.003,10.904,5.149,17.537,-26.565,0.163
17,0.001,9.016,4.000,13.000,-45.000,0.082
18,0.001,3.650,1.000,6.500,14.036,0.060
19,0.006,15.118,3.780,21.946,-29.249,0.418
20,0.002,4.390,1.000,5.286,-26.565,0.098
21,0.002,7.422,2.000,20.000,96.340,0.132
22,0.003,8.712,2.000,15.000,70.017,0.171
23,0.003,10.131,5.538,15.793,45.000,0.186
24,0.012,18.419,6.000,24.382,176.878,0.803
25,0.004,5.824,1.000,11.474,45.000,0.247
26,0.003,14.591,2.000,20.184,72.897,0.198
27,0.003,7.524,1.000,13.000,81.870,0.206
28,0.002,13.724,6.000,20.562,23.199,0.111
29,0.003,10.182,4.909,19.636,-15.255,0.166
30,0.003,16.114,10.000,20.107,56.310,0.158
31,0.003,10.474,4.000,20.000,120.964,0.170
32,0.005,10.627,2.000,17.333,-16.699,0.304
33,0.001,13.333,2.000,21.200,-21.801,0.079
34,0.001,11.453,6.000,19.000,-36.870,0.073
35,0.001,9.167,2.600,15.000,11.310,0.074
36,0.003,15.933,2.000,23.000,0.000,0.204
37,0.002,8.589,2.000,18.000,-12.529,0.134
38,0.004,8.335,2.500,12.281,39.806,0.228
39,0.005,7.650,2.889,19.556,131.186,0.310
40,0.001,6.800,1.000,12.000,-26.565,0.065
