 ,Area,Mean,Min,Max,Angle,Length
1,0.035,18.033,1.762,32.921,92.444,2.393
2,0.035,17.764,1.000,32.195,87.905,2.392
3,0.028,16.017,1.000,30.448,107.038,1.891
4,0.035,17.303,4.173,29.857,-65.323,2.374
5,0.031,16.261,2.493,30.943,35.584,2.079
6,0.028,14.459,3.409,25.566,-133.112,1.877
7,0.041,21.932,3.048,36.945,132.233,2.776
8,0.055,17.760,3.191,28.564,-117.759,3.765
9,0.017,20.744,8.197,27.675,43.958,1.133
10,0.034,14.131,1.243,27.958,28.350,2.314
11,0.015,25.021,8.346,30.472,-52.970,1.045
12,0.017,23.424,9.387,30.121,-45.000,1.133
13,0.021,17.195,1.599,26.247,-16.422,1.456
14,0.020,19.543,7.699,28.421,62.613,1.372
