 ,Area,Mean,Min,Max,Angle,Length
1,0.299,15.225,12.000,22.138,10.539,5.101
2,0.153,15.789,5.000,26.000,173.517,2.582
3,0.146,19.306,6.173,25.900,28.393,2.452
4,0.211,17.752,4.779,25.695,-99.462,3.547
5,0.241,16.884,5.000,24.840,53.130,4.082
6,0.177,16.105,9.158,19.600,12.407,2.985
7,0.235,15.989,5.000,26.000,-55.146,3.979
8,0.105,17.953,5.358,26.000,-140.440,1.740
9,0.078,16.672,9.828,22.387,-52.125,1.299
10,0.095,15.793,12.889,21.150,17.745,1.549
11,0.313,16.146,4.778,25.913,77.949,5.321
12,0.680,18.540,5.000,26.000,53.762,11.624
13,0.524,18.547,7.440,26.000,80.538,8.902
14,0.530,18.009,7.184,25.886,44.474,9.016
15,0.272,15.862,5.000,24.889,47.045,4.594
16,0.415,18.503,5.629,26.000,100.008,7.030
17,0.173,17.476,9.333,23.856,29.604,2.941
18,0.133,15.795,3.457,23.235,28.610,2.191
19,0.061,14.276,11.294,17.556,60.255,0.974
20,0.119,16.404,12.715,20.314,-36.870,1.998
21,0.275,17.315,6.133,25.258,-4.289,4.636
22,0.374,16.797,5.512,23.781,88.949,6.377
23,0.262,14.927,6.432,21.688,-57.758,4.454
24,0.136,16.050,12.596,20.308,-68.749,2.267
25,0.326,16.480,6.556,24.099,58.314,5.554
26,0.265,15.349,12.025,20.671,27.897,4.486
27,0.493,15.973,5.000,24.667,-158.051,8.388
28,0.204,20.332,5.000,25.788,128.811,3.430
29,0.513,16.683,5.884,25.840,123.056,8.745
30,0.442,16.419,5.000,25.827,26.169,7.528
31,0.214,15.520,5.168,22.715,50.194,3.643
32,0.180,16.611,8.156,22.667,127.972,3.017
33,0.099,15.067,5.000,22.113,-77.471,1.632
34,0.170,15.924,4.379,23.296,5.947,2.851
35,0.201,13.245,2.162,23.751,27.013,3.355
36,0.129,15.879,8.596,20.765,142.524,2.162
37,0.078,8.576,0.628,18.074,54.162,1.306
38,0.119,16.154,9.000,22.667,20.556,1.993
39,0.156,14.941,10.689,18.356,124.046,2.609
40,0.099,15.181,8.429,23.578,-72.897,1.623
