 ,Area,Mean,Min,Max,Angle,Length
1,0.006,21.834,10.599,28.680,-79.509,0.395
2,0.004,18.309,4.000,23.000,-63.435,0.260
3,0.005,20.414,7.000,26.506,-58.241,0.366
4,0.003,19.544,13.667,24.050,-93.814,0.214
5,0.004,17.590,9.454,27.352,-30.964,0.253
6,0.003,22.038,16.000,28.174,-68.199,0.157
7,0.003,12.231,4.008,17.760,41.186,0.155
8,0.003,20.111,16.320,28.000,61.390,0.182
9,0.002,20.500,15.000,27.000,0.000,0.131
10,0.002,13.458,7.500,18.000,-29.745,0.117
11,0.003,17.083,12.167,22.333,59.036,0.170
12,0.002,20.467,15.000,24.370,-40.601,0.134
13,0.002,14.505,5.383,19.173,-32.005,0.137
14,0.003,19.934,10.692,25.615,85.601,0.190
15,0.002,23.940,16.000,27.000,57.995,0.137
16,0.003,23.005,18.884,25.983,-68.199,0.157
17,0.002,16.667,11.750,22.250,60.255,0.117
18,0.003,20.246,1.000,25.189,61.390,0.182
19,0.003,16.090,9.333,21.667,-4.764,0.175
20,0.002,22.043,17.333,25.472,29.745,0.113
21,0.003,19.309,11.667,24.265,56.310,0.210
22,0.003,10.054,3.878,15.333,107.103,0.202
23,0.004,18.137,4.667,24.250,70.346,0.227
24,0.005,19.135,6.000,27.274,-61.390,0.364
25,0.002,12.511,3.037,18.593,69.444,0.124
26,0.002,14.562,4.500,20.000,60.255,0.117
27,0.002,17.818,1.000,25.000,78.690,0.148
28,0.003,21.183,15.000,25.273,21.801,0.157
29,0.002,17.778,4.000,25.000,0.000,0.116
30,0.006,20.010,4.000,26.033,107.745,0.382
31,0.002,19.644,16.000,24.000,83.660,0.132
32,0.005,23.097,16.184,29.000,-116.565,0.358
33,0.003,9.220,1.496,16.430,21.801,0.157
34,0.005,16.939,1.000,21.000,113.499,0.365
35,0.002,23.100,19.395,27.358,-153.435,0.130
36,0.003,21.872,12.250,26.167,120.964,0.170
37,0.003,20.587,14.000,26.400,78.690,0.222
38,0.003,19.125,15.190,23.983,153.435,0.163
39,0.002,14.365,11.000,19.680,-135.000,0.144
40,0.005,23.646,9.000,29.000,-59.931,0.319
