 ,Area,Mean,Min,Max,Angle,Length
1,0.004,10.203,0.000,22.000,63.435,0.293
2,0.004,14.592,3.125,22.000,150.255,0.235
3,0.003,11.325,1.400,19.800,-11.310,0.223
4,0.005,11.173,1.000,20.702,65.772,0.320
5,0.005,13.840,4.866,19.145,112.834,0.301
6,0.003,20.495,1.923,26.385,4.399,0.190
7,0.005,14.997,2.000,22.000,25.463,0.339
8,0.005,13.882,3.667,21.327,29.055,0.300
9,0.003,9.835,5.934,18.000,41.186,0.155
10,0.003,22.040,16.456,27.000,108.435,0.184
11,0.005,12.221,1.735,22.000,-16.699,0.304
12,0.007,15.558,5.920,24.216,-36.529,0.490
13,0.004,12.471,3.000,22.000,104.036,0.240
14,0.003,14.655,8.663,22.000,108.435,0.184
15,0.003,13.727,7.091,22.727,100.305,0.163
16,0.004,11.724,2.550,21.488,156.371,0.255
17,0.003,18.265,4.667,23.389,109.983,0.171
18,0.008,15.103,4.481,22.272,141.843,0.519
19,0.010,11.634,2.545,22.091,131.309,0.640
20,0.006,21.303,12.952,25.121,116.565,0.424
