 ,Area,Mean,Min,Max,Angle,Length
1,0.226,14.851,11.399,20.747,-46.219,3.865
2,0.166,13.302,3.841,18.097,-49.268,2.775
3,0.237,17.279,4.000,23.263,-29.539,4.010
4,0.328,14.695,12.000,20.444,0.000,5.581
5,0.159,14.347,11.984,19.156,-4.970,2.646
6,0.105,14.986,12.000,18.933,160.346,1.729
7,0.199,8.100,0.299,13.000,36.469,3.349
8,0.088,17.256,8.889,21.420,70.821,1.434
9,0.068,14.508,2.972,21.311,126.254,1.086
10,0.142,14.709,9.698,20.778,32.152,2.408
11,0.172,15.146,11.204,19.556,96.843,2.928
12,0.257,15.125,6.711,21.002,28.250,4.387
13,0.277,9.926,0.742,19.802,-42.990,4.691
14,0.183,16.846,5.080,24.311,91.102,3.063
15,0.139,14.532,11.556,19.147,8.746,2.308
16,0.183,12.330,6.179,21.117,97.524,3.092
17,0.071,13.615,6.067,20.667,152.103,1.145
18,0.101,15.027,8.667,21.332,15.945,1.704
19,0.399,18.828,6.684,26.697,43.620,6.827
20,0.490,18.016,6.426,24.897,73.946,8.391
21,0.470,18.195,6.498,25.941,105.146,8.030
22,0.382,16.148,5.000,25.804,84.898,6.538
23,0.061,14.332,12.000,17.587,42.709,1.014
24,0.132,13.480,7.333,19.333,147.995,2.215
25,0.162,14.097,11.111,19.679,-56.310,2.741
26,0.216,22.701,5.304,27.000,18.435,3.677
27,0.189,15.839,7.247,24.496,-41.285,3.187
28,0.294,17.700,4.954,25.297,-39.806,4.983
29,0.254,16.970,7.874,22.075,134.454,4.330
30,0.220,14.820,7.667,19.682,10.784,3.748
31,0.328,16.840,4.000,22.000,-4.764,5.601
32,0.423,17.496,5.828,24.183,152.199,7.230
33,0.622,16.939,4.000,27.000,-29.629,10.658
34,0.534,18.684,1.667,27.000,67.859,9.127
35,0.112,17.642,9.889,22.000,137.490,1.867
36,0.152,17.019,8.722,24.000,21.318,2.555
37,0.304,17.278,10.889,21.461,-92.573,5.199
38,0.125,16.282,12.658,21.313,76.759,2.068
39,0.112,14.784,4.000,22.000,14.931,1.843
40,0.291,13.493,8.260,21.990,-88.668,4.964
