 ,Area,Mean,Min,Max,Angle,Length
1,0.415,22.131,9.000,28.649,72.618,7.026
2,0.309,25.106,9.508,33.000,32.276,5.241
3,0.350,21.857,12.679,28.431,-21.280,5.945
4,0.170,19.912,1.627,30.481,59.237,2.850
5,0.847,24.247,9.000,32.884,-17.850,14.457
6,0.428,23.271,12.924,31.560,12.926,7.299
7,0.942,23.775,9.341,33.000,-80.811,16.066
8,0.996,27.302,8.863,33.000,-92.745,17.046
9,0.269,20.029,7.627,28.000,-29.197,4.542
10,0.235,24.262,4.000,32.055,13.627,3.960
11,0.785,19.923,0.370,33.000,91.743,13.417
12,0.425,22.503,9.174,31.665,13.478,7.255
13,0.592,26.776,10.986,33.000,132.184,10.072
14,0.279,23.235,9.218,31.774,65.026,4.696
15,0.877,23.033,9.553,32.501,-18.364,14.991
16,0.602,18.816,6.000,29.909,144.955,10.256
17,0.493,20.832,0.000,31.250,-10.376,8.418
18,0.245,20.732,13.362,29.000,167.735,4.117
19,0.241,22.905,11.000,31.200,143.130,4.082
20,0.235,21.962,11.723,27.616,155.695,3.967
21,0.109,19.190,10.039,27.000,120.651,1.830
22,0.347,20.977,7.000,32.618,19.156,5.864
23,0.316,22.658,8.000,29.119,7.512,5.352
24,0.466,24.258,9.277,32.277,77.699,7.937
25,0.415,22.452,4.000,31.725,72.618,7.026
26,0.218,19.484,1.000,29.000,180.000,3.673
27,0.775,16.862,0.641,29.000,73.397,13.264
28,0.571,13.958,0.060,30.000,87.600,9.746
29,0.272,23.521,11.228,32.076,96.582,4.578
30,0.299,22.275,11.090,29.455,52.472,5.073
31,0.126,18.555,10.778,24.681,24.444,2.114
32,0.095,20.429,11.000,29.000,90.000,1.574
33,0.204,21.199,11.996,29.000,160.346,3.467
34,0.133,21.044,9.000,30.103,85.486,2.196
35,0.150,18.357,8.500,26.844,20.095,2.518
36,0.082,18.775,8.250,26.048,115.463,1.356
37,0.058,15.798,5.500,26.125,10.620,0.949
38,0.102,23.181,14.931,27.771,49.185,1.676
39,0.122,21.489,11.720,28.397,166.759,2.037
40,0.170,23.342,10.606,31.058,-21.371,2.880
41,0.078,20.032,13.420,29.045,48.576,1.300
42,0.126,21.669,13.035,27.639,61.260,2.087
43,0.204,26.454,7.438,32.953,128.811,3.461
44,0.075,14.476,0.500,24.751,5.440,1.204
45,0.119,16.270,6.000,27.235,29.539,1.985
46,0.109,18.210,11.000,25.930,88.152,1.779
47,0.112,19.193,13.375,26.833,-142.765,1.837
48,0.133,22.586,13.500,30.391,64.093,2.243
49,0.306,20.354,7.990,28.899,-27.997,5.205
50,0.122,18.494,9.697,25.440,27.300,2.047
51,0.116,18.951,11.715,26.699,90.000,1.895
52,0.078,21.006,11.843,26.525,46.848,1.279
53,0.459,20.681,8.108,30.303,77.101,7.836
54,0.224,18.588,5.872,28.175,41.269,3.782
55,0.207,20.881,14.929,30.090,-178.091,3.471
56,0.428,20.397,12.507,27.873,-32.928,7.294
57,0.265,22.596,6.000,31.469,33.275,4.464
58,0.085,20.253,16.500,24.028,-124.992,1.424
59,0.177,11.866,0.206,26.000,86.634,2.979
60,0.167,19.453,11.441,25.583,-157.751,2.783
