 ,Area,Mean,Min,Max,Angle,Length
1,0.005,15.437,3.000,33.000,-87.274,0.306
2,0.007,18.107,2.137E-11,27.400,-13.570,0.435
3,0.004,16.429,2.000,25.000,11.889,0.283
4,0.003,26.286,23.000,34.000,-8.130,0.206
5,0.002,29.977,24.000,34.000,-29.055,0.150
6,0.003,30.742,23.000,34.000,-45.000,0.186
7,0.002,30.000,11.000,34.000,-11.310,0.149
8,0.004,20.008,3.000,29.053,-81.027,0.280
9,0.004,19.676,3.000,32.000,-47.490,0.237
10,0.003,12.353,3.000,23.191,-31.608,0.223
11,0.002,32.333,23.000,34.000,14.036,0.120
12,0.002,13.117,6.156,26.000,11.310,0.141
13,0.002,18.906,15.444,28.000,-60.945,0.143
14,0.004,27.078,16.778,31.111,-83.660,0.264
15,0.005,17.016,15.000,20.000,-79.216,0.307
16,0.007,15.276,3.468,33.000,-79.380,0.484
17,0.002,12.817,3.000,18.560,7.125,0.107
18,0.002,18.123,14.624,26.000,-90.000,0.136
19,0.002,22.919,7.667,31.333,-16.699,0.151
20,0.003,12.583,3.544,18.673,-33.690,0.202
21,0.002,26.314,7.111,31.093,-77.471,0.139
22,0.002,24.345,10.000,28.480,-29.055,0.148
23,0.007,16.713,5.941,20.000,13.627,0.495
24,0.006,18.034,14.241,28.000,-14.036,0.421
25,0.008,17.927,7.911,26.778,21.501,0.517
26,0.003,14.015,3.000,28.000,42.274,0.217
27,0.004,19.389,15.000,26.588,-83.290,0.250
28,0.004,21.953,8.375,31.250,-47.490,0.237
29,0.004,20.732,2.000,28.000,-93.576,0.234
30,0.004,27.350,0.000,33.000,-90.000,0.277
31,0.002,28.620,23.000,34.000,-18.435,0.135
32,0.003,31.012,23.000,33.949,-32.471,0.189
33,0.007,28.061,13.500,30.917,-5.356,0.468
34,0.004,12.810,3.488,30.000,-77.471,0.271
35,0.004,20.319,3.988,32.370,-42.709,0.261
36,0.002,26.315,22.000,29.500,-119.745,0.113
37,0.001,22.873,5.000,32.444,-128.660,0.090
38,0.002,10.265,3.000,19.333,18.435,0.144
39,0.002,16.751,14.229,19.143,-113.199,0.105
40,0.003,18.815,6.000,27.852,-94.764,0.176
