 ,Area,Mean,Min,Max,Angle,Length
1,0.002,8.952,0.086,14.000,63.435,0.130
2,0.007,8.686,2.000,18.092,107.819,0.430
3,0.003,11.821,3.667,18.000,90.000,0.194
4,0.004,9.441,4.018,18.444,90.000,0.272
5,0.004,18.292,9.609,23.778,109.440,0.264
6,0.005,10.841,2.056,19.633,80.134,0.336
7,0.003,17.652,13.000,22.993,34.992,0.183
8,0.004,19.305,10.313,25.404,25.201,0.278
9,0.006,19.547,8.762,24.556,92.045,0.409
10,0.006,19.589,7.234,26.453,48.366,0.358
11,0.004,11.109,5.506,16.789,96.710,0.253
12,0.004,15.229,4.267,20.933,78.690,0.297
13,0.003,19.770,16.254,24.416,112.620,0.191
14,0.006,7.962,2.684,12.852,23.749,0.401
15,0.006,9.126,3.789,12.429,135.000,0.412
16,0.004,19.799,7.000,29.000,148.392,0.227
17,0.007,18.919,9.117,25.531,40.236,0.483
18,0.006,13.096,5.000,20.796,79.114,0.377
19,0.006,16.889,10.543,21.765,45.000,0.357
20,0.002,9.580,4.667,13.000,69.444,0.123
21,0.004,12.800,3.548,20.266,54.462,0.249
22,0.005,8.883,2.745,17.575,82.235,0.333
23,0.003,10.361,5.184,13.711,37.875,0.167
24,0.005,12.279,6.450,20.701,75.964,0.302
25,0.007,10.976,2.537,20.667,165.964,0.481
26,0.002,21.225,11.720,27.560,111.801,0.148
27,0.003,19.596,14.235,25.688,81.254,0.195
28,0.005,17.156,4.222,24.390,50.528,0.319
29,0.004,11.462,3.036,21.667,45.000,0.247
30,0.003,20.157,17.090,24.667,53.973,0.194
31,0.003,7.027,3.367,12.437,111.801,0.166
32,0.004,8.217,2.733,19.667,111.251,0.289
33,0.003,11.006,3.247,18.876,98.746,0.195
34,0.002,8.870,5.000,16.000,123.690,0.113
35,0.002,9.185,6.222,12.333,69.444,0.123
36,0.004,9.909,2.844,17.444,45.000,0.247
37,0.005,7.080,2.000,16.889,60.255,0.357
38,0.004,9.237,2.000,13.426,124.509,0.280
39,0.003,8.901,4.250,11.667,45.000,0.220
40,0.002,7.410,3.000,11.480,57.995,0.140
