 ,Area,Mean,Min,Max,Angle,Length
1,0.233,19.533,12.036,21.960,-28.474,3.926
2,0.168,17.796,14.024,21.898,-10.620,2.813
3,0.229,17.626,6.699,20.452,-15.945,3.856
4,0.328,16.986,14.000,20.202,-93.652,5.537
5,0.085,15.673,6.784,18.962,140.194,1.384
6,0.099,20.075,12.766,23.000,169.875,1.650
7,0.089,15.742,12.660,19.453,118.610,1.490
8,0.072,17.304,7.450,20.894,162.474,1.195
9,0.386,19.187,7.844,22.965,-79.192,6.534
10,0.168,20.135,13.319,22.654,86.424,2.808
11,0.356,17.147,4.815,22.962,60.945,6.002
12,0.438,19.396,6.342,23.000,99.537,7.414
13,0.178,14.038,7.362,17.128,67.989,2.988
14,0.137,19.243,15.932,21.412,112.068,2.278
15,0.332,19.808,13.000,22.864,-80.340,5.604
16,0.291,18.879,14.071,22.999,-124.439,4.913
17,0.298,18.895,7.072,23.000,-19.069,5.037
18,0.219,17.883,14.017,22.851,-136.931,3.681
19,0.106,18.741,12.968,22.000,-43.668,1.753
20,0.123,17.774,14.000,22.720,-107.928,2.056
21,0.096,18.379,14.024,21.827,-113.749,1.584
22,0.089,14.785,4.914,19.021,133.363,1.436
23,0.082,12.539,3.484,18.573,142.125,1.365
24,0.092,19.735,17.422,21.279,0.000,1.544
25,0.192,14.090,4.928,17.725,63.905,3.198
26,0.106,19.362,14.856,22.000,-43.668,1.782
27,0.075,16.792,9.961,20.089,92.726,1.219
28,0.120,20.244,16.947,22.285,-15.255,1.981
29,0.113,16.972,12.511,21.735,-48.814,1.842
30,0.051,16.856,14.528,19.528,81.870,0.822
31,0.048,17.109,13.000,23.000,-161.565,0.732
32,0.048,19.622,15.848,21.521,104.036,0.749
33,0.079,17.138,7.098,20.646,155.772,1.291
34,0.085,14.940,9.402,19.927,114.444,1.382
35,0.089,17.567,14.147,21.816,-113.499,1.473
36,0.075,19.649,15.211,21.597,21.801,1.238
37,0.294,18.683,13.000,23.000,-19.926,4.974
38,0.068,19.026,12.921,21.190,11.889,1.116
39,0.113,17.670,13.206,20.257,-47.490,1.899
40,0.065,19.848,13.868,22.610,-96.340,1.063
