 ,Area,Mean,Min,Max,Angle,Length
1,0.279,14.150,3.239,21.241,-66.615,4.697
2,0.235,16.632,4.414,22.965,4.268,3.943
3,0.292,14.697,2.334,21.817,-28.664,4.985
4,0.503,8.388,1.306,19.726,74.162,8.552
5,0.398,12.419,1.000,22.622,93.979,6.739
6,1.047,17.128,2.461,26.962,-81.975,17.919
7,1.003,13.941,1.016,24.210,-111.331,17.159
8,0.921,12.852,1.611,23.541,-162.975,15.761
9,0.833,11.926,1.136,23.512,0.236,14.218
10,0.867,9.210,1.015,20.461,-29.493,14.802
11,0.381,9.684,1.000,20.741,87.421,6.489
12,0.211,5.966,1.110,14.860,14.265,3.557
13,0.789,15.339,1.715,23.489,28.452,13.449
14,0.235,12.586,0.522,19.656,97.651,3.964
15,0.347,19.336,7.617,25.053,94.529,5.894
16,0.364,11.654,0.037,22.675,-31.149,6.197
17,0.204,8.658,1.829,19.958,51.789,3.461
18,0.255,6.752,1.090,15.671,75.964,4.303
19,0.350,9.520,1.418,19.694,64.949,5.927
20,0.374,15.320,4.376,20.930,28.443,6.343
21,0.391,19.031,7.702,26.251,-24.775,6.651
22,0.459,10.160,1.000,19.437,-81.384,7.826
23,0.323,13.146,1.853,20.957,-140.667,5.467
24,0.813,12.218,1.000,24.565,166.842,13.863
25,0.323,17.948,2.300,26.241,-35.042,5.495
26,0.462,14.120,1.011,23.252,-85.307,7.845
27,0.350,13.434,1.015,20.910,116.816,5.960
28,0.194,15.654,3.713,20.655,25.641,3.243
29,0.354,13.754,1.812,19.943,72.446,6.022
30,0.143,14.370,3.534,23.856,90.000,2.390
