 ,Area,Mean,Min,Max,Angle,Length
1,0.354,12.555,2.000,20.000,-2.224,6.016
2,0.082,10.904,0.000,18.083,61.189,1.332
3,0.055,7.265,1.067,16.778,70.346,0.868
4,0.661,14.002,6.271,21.490,-29.083,11.287
5,0.841,12.080,0.440,25.103,-21.975,14.350
6,0.106,15.395,10.520,21.000,168.311,1.728
7,0.296,13.109,2.456E-11,21.792,-102.095,5.014
8,0.841,15.028,2.000,23.921,161.050,14.378
9,0.589,12.980,0.192,23.256,0.333,10.039
10,0.143,19.134,2.000,26.610,85.815,2.399
11,0.269,11.723,1.137E-13,19.500,174.872,4.571
12,0.286,9.567,0.835,20.000,-68.070,4.845
13,0.082,12.161,2.391,17.870,82.569,1.354
14,1.008,13.777,7.240,23.357,-68.559,17.244
15,0.916,17.822,10.000,24.457,-148.449,15.616
16,0.736,17.836,4.000,26.933,110.369,12.576
17,0.739,19.695,4.000,27.000,107.512,12.608
18,0.940,14.272,2.987,25.922,-101.964,16.049
19,0.893,15.447,4.000,24.132,-22.046,15.239
20,0.991,13.336,0.225,23.931,-24.624,16.950
21,0.804,15.163,0.177,24.000,-23.839,13.719
22,0.371,12.640,5.000,17.000,121.329,6.286
23,0.535,10.860,1.335,19.487,41.359,9.098
24,0.283,10.838,2.000,20.000,15.562,4.786
25,0.392,13.898,4.455,21.000,74.261,6.670
26,0.354,13.080,0.000,19.459,156.656,6.039
27,0.709,12.204,3.009,19.242,15.983,12.082
28,0.112,18.224,11.000,23.828,169.046,1.843
29,0.136,15.159,10.000,23.077,82.694,2.295
30,0.845,15.860,8.244,26.535,69.362,14.407
31,0.858,15.412,2.000,23.924,81.741,14.626
32,0.583,16.158,7.837,24.000,-9.794,9.950
33,0.252,12.978,5.000,21.000,149.574,4.264
34,0.102,18.800,11.229,23.839,30.964,1.675
35,0.259,14.180,2.030,21.731,-35.181,4.383
36,0.477,7.401,0.521,19.917,36.541,8.125
37,0.177,13.865,6.000,21.808,51.340,2.990
38,0.249,13.598,1.000,23.511,50.092,4.185
39,0.191,11.984,0.000,20.321,-51.667,3.199
40,0.116,13.467,2.000,18.851,128.928,1.951
41,0.198,12.586,5.000,19.848,32.856,3.335
42,0.140,15.634,7.130,24.160,156.615,2.353
43,0.174,17.242,2.000,24.669,-79.592,2.908
44,0.208,11.149,4.160,19.403,-145.244,3.481
45,0.232,15.233,10.000,22.012,65.344,3.917
46,0.177,13.257,2.000,18.554,-146.929,2.995
47,0.129,10.670,7.759E-12,18.533,-154.134,2.141
48,0.269,14.096,2.426,20.840,-34.509,4.533
49,0.756,18.695,0.875,27.000,-74.518,12.900
50,0.085,12.050,2.375,18.750,82.875,1.412
