 ,Area,Mean,Min,Max,Angle,Length
1,0.654,20.045,1.850,28.308,17.390,11.119
2,0.327,11.621,1.152,22.125,29.521,5.522
3,0.923,9.968,0.000,26.133,-7.651,15.774
4,0.511,20.209,7.609,28.793,32.412,8.704
5,0.651,17.602,1.726,27.816,-2.411,11.097
6,0.910,14.413,2.320,24.212,57.744,15.532
7,0.576,16.598,4.658,27.927,-67.694,9.824
8,1.233,11.714,0.137,27.624,16.775,21.065
9,0.375,24.765,9.619,29.118,112.580,6.378
10,0.320,16.472,3.118,26.890,49.800,5.416
11,0.255,22.871,2.143,27.968,58.903,4.295
12,0.514,19.324,4.790,27.666,83.112,8.775
13,0.235,15.629,1.620,27.421,-179.145,3.949
14,0.262,15.418,0.766,23.445,52.524,4.436
15,0.167,13.161,4.001,20.035,93.504,2.817
16,0.562,14.173,1.500,26.051,128.823,9.579
17,0.361,20.973,4.367,26.902,131.135,6.131
18,0.150,20.299,7.536,27.682,16.314,2.534
19,0.177,20.659,4.432,27.311,91.123,2.975
20,0.429,12.373,1.922,21.340,53.130,7.302
21,1.223,11.423,1.251,25.467,-28.790,20.868
22,0.787,14.038,1.061,21.729,146.588,13.427
23,0.320,12.340,3.220,20.347,116.288,5.443
24,0.634,22.247,9.647,29.968,-30.591,10.789
25,0.811,9.029,0.000,22.600,147.250,13.815
26,1.141,11.906,0.106,24.947,-34.261,19.513
27,1.148,10.508,0.190,27.208,157.406,19.605
28,0.576,9.150,1.333,19.333,141.766,9.808
29,0.525,17.212,5.461,29.806,-40.764,8.939
30,0.657,13.391,7.276E-12,27.966,12.659,11.186
31,0.395,20.848,7.715,27.039,149.636,6.697
32,0.402,9.091,0.738,22.979,124.232,6.848
33,0.211,19.173,2.000,23.623,120.324,3.584
34,0.341,21.104,3.019,28.776,120.174,5.806
35,0.307,11.412,1.137E-13,21.461,90.644,5.195
36,0.916,12.627,0.403,26.983,160.346,15.618
37,0.596,15.011,1.514,27.231,73.332,10.175
38,0.215,12.827,1.000,24.194,-5.528,3.636
39,1.012,10.289,0.000,24.554,26.305,17.254
40,0.167,13.755,3.000,25.000,90.000,2.802
41,0.201,15.420,2.000,24.684,40.815,3.393
42,0.327,5.667,0.299,14.886,-71.565,5.537
43,0.061,11.083,2.000,15.955,61.928,0.992
44,0.072,12.183,5.580,20.000,66.038,1.150
45,0.089,21.277,13.000,25.845,118.610,1.463
46,0.061,16.415,1.000,22.941,100.008,1.008
47,0.106,19.995,4.500,26.000,9.462,1.775
48,0.085,6.483,0.000,14.000,48.366,1.406
49,0.317,11.366,1.000,23.000,90.000,5.370
50,0.463,15.466,2.745,26.910,-24.479,7.888
51,0.194,19.512,9.281,26.857,27.474,3.289
52,0.092,19.162,3.538,27.000,-4.399,1.522
53,0.191,19.993,3.000,25.397,119.358,3.214
54,0.126,18.197,4.000,26.611,11.310,2.083
55,0.112,21.262,4.000,28.750,14.470,1.869
56,0.123,14.040,3.000,23.948,-48.504,2.026
57,0.191,18.408,1.143,26.730,-135.000,3.219
58,0.106,20.010,2.000,26.400,95.711,1.760
59,0.136,19.232,5.308,25.085,131.878,2.273
60,0.654,12.804,4.750E-25,25.151,-132.032,11.158
