 ,Area,Mean,Min,Max,Angle,Length
1,0.014,2.883,1.097,5.361,18.435,0.181
2,0.017,5.970,2.545,9.101,-14.036,0.207
3,0.010,8.062,6.158,9.024,0.000,0.122
4,0.037,4.315,1.741,7.609,90.000,0.569
5,0.041,12.316,2.891,18.274,101.310,0.613
6,0.041,5.922,1.086,14.802,104.036,0.668
7,0.024,5.394,1.986,8.367,30.964,0.348
8,0.017,11.324,3.319,14.157,90.000,0.207
9,0.014,3.615,0.000,8.084,26.565,0.146
10,0.014,4.753,1.172,7.135,108.435,0.181
11,0.020,7.304,4.107,11.654,45.000,0.286
12,0.068,16.274,3.362,21.651,62.103,1.106
13,0.034,7.209,2.700,15.068,135.000,0.516
14,0.034,13.169,2.671,20.659,18.435,0.551
15,0.044,16.201,11.104,18.612,-28.610,0.689
16,0.044,6.349,1.733,14.420,-5.194,0.693
17,0.027,7.136,3.766,13.867,-15.945,0.423
18,0.014,5.143,4.027,7.502,45.000,0.203
19,0.031,6.564,3.304,13.814,29.745,0.472
20,0.017,4.244,1.721,8.353,18.435,0.207
21,0.014,7.031,2.176,15.257,-18.435,0.167
22,0.027,4.504,1.990,7.798,123.690,0.405
23,0.044,12.841,2.198,20.401,114.444,0.692
24,0.017,16.658,10.891,20.484,161.565,0.207
25,0.014,3.487,0.279,7.343,45.000,0.203
26,0.027,7.496,3.854,12.368,63.435,0.399
27,0.017,3.776,2.525,4.934,75.964,0.218
28,0.017,19.152,17.199,21.104,26.565,0.256
29,0.017,4.929,0.823,9.270,45.000,0.229
30,0.014,14.459,10.161,17.476,33.690,0.181
31,0.017,14.660,5.418,19.328,26.565,0.236
32,0.020,5.872,1.454,11.407,143.130,0.316
33,0.017,4.904,1.161,8.829,45.000,0.259
34,0.014,4.014,0.043,8.180,26.565,0.146
35,0.014,3.905,2.312,7.640,0.000,0.167
36,0.017,8.541,2.026,15.445,71.565,0.218
37,0.031,4.600,1.598,9.775,7.125,0.493
38,0.010,6.304,4.938,8.722,153.435,0.128
39,0.034,20.186,14.262,24.274,147.995,0.528
40,0.024,8.514,1.587,12.975,-9.462,0.367
