 ,Area,Mean,Min,Max,Angle,Length
1,0.750,8.180,0.054,18.105,33.046,12.858
2,0.477,13.582,3.000,22.267,11.070,8.134
3,0.429,12.294,3.000,18.000,104.257,7.351
4,0.149,14.535,4.709,23.000,17.592,2.525
5,0.470,13.206,3.000,24.571,-71.301,8.016
6,0.537,14.245,3.194,22.333,-10.176,9.208
7,0.291,10.374,0.423,20.000,-8.797,4.945
8,0.291,13.999,4.144,21.541,7.461,4.928
9,0.477,14.552,8.444,19.952,1.228,8.141
10,0.301,14.956,3.000,23.833,-85.452,5.134
11,1.021,11.593,3.000,24.000,9.368,17.485
12,0.372,16.952,12.286,26.000,-74.560,6.347
13,0.385,15.096,3.000,25.743,86.934,6.558
14,0.155,11.556,4.483,17.727,-101.560,2.645
15,0.233,16.123,4.885,24.484,126.529,3.938
16,0.402,11.356,3.000,19.243,42.600,6.886
17,0.348,14.801,7.419,25.333,37.093,5.946
18,0.308,16.106,11.333,25.425,34.046,5.214
19,0.115,13.582,10.364,17.430,28.887,1.909
20,0.206,11.012,3.041,17.039,-40.292,3.494
21,0.166,9.861,1.833,19.000,48.366,2.800
22,0.254,14.778,6.000,25.409,112.087,4.302
23,0.169,13.526,4.536,19.446,119.168,2.863
24,0.240,12.457,3.343,20.540,-81.069,4.091
25,1.028,11.587,1.152,23.757,-164.910,17.643
26,0.267,13.852,3.000,25.519,59.797,4.507
27,0.318,12.582,3.361,23.106,134.563,5.386
28,0.213,14.850,3.796,23.000,24.520,3.630
29,0.139,13.970,3.541,23.000,115.278,2.353
30,0.098,11.905,1.337,17.995,57.995,1.621
31,0.439,14.094,3.000,23.898,-20.400,7.506
32,0.980,15.558,4.726,25.527,-137.100,16.826
33,0.277,16.619,8.867,25.436,34.472,4.709
34,0.250,12.852,3.000,23.903,-125.628,4.268
35,0.112,15.612,7.500,21.719,-131.186,1.854
36,0.203,10.453,3.178,17.571,104.744,3.419
37,0.389,8.187,0.460,23.816,162.044,6.632
38,0.463,12.293,3.000,18.444,-127.875,7.931
39,0.348,15.163,7.668,24.970,38.220,5.902
40,0.439,14.136,3.164,18.299,-104.789,7.516
