 ,Area,Mean,Min,Max,Angle,Length
1,0.003,21.229,2.000,33.143,-81.870,0.206
2,0.005,24.257,12.340,34.075,-60.945,0.300
3,0.003,17.181,3.643,30.000,-77.905,0.209
4,0.004,16.005,3.183,25.881,38.660,0.280
5,0.006,18.603,4.665,31.679,68.199,0.393
6,0.005,16.197,5.917,27.000,48.366,0.351
7,0.005,19.583,2.000,34.000,0.000,0.335
8,0.004,15.359,3.285,28.000,38.660,0.280
9,0.003,17.113,2.000,27.000,70.017,0.171
10,0.004,12.426,2.000,29.250,21.801,0.236
11,0.003,17.925,5.250,23.250,-19.983,0.171
12,0.003,14.606,4.636,27.000,-15.255,0.166
13,0.003,15.967,3.000,24.249,67.380,0.190
14,0.004,16.471,3.632,28.000,6.009,0.278
15,0.003,14.919,6.000,20.667,164.055,0.212
16,0.005,22.063,2.701,31.146,114.444,0.352
17,0.003,15.160,3.267,27.511,42.274,0.217
18,0.003,15.229,3.000,25.469,33.690,0.210
19,0.003,14.545,3.000,28.000,30.964,0.170
20,0.002,19.093,14.593,24.259,125.538,0.125
21,0.002,13.911,2.286,27.286,105.945,0.106
22,0.003,17.166,3.939,29.408,135.000,0.206
23,0.003,15.600,3.933,27.333,172.405,0.221
24,0.002,16.121,2.000,27.333,57.995,0.138
25,0.004,13.233,5.360,21.009,108.435,0.245
26,0.005,11.918,4.005,21.357,115.346,0.310
27,0.005,11.404,3.436,19.551,67.751,0.335
28,0.003,18.248,7.529,25.184,123.690,0.166
29,0.003,14.559,3.583,22.182,151.699,0.219
30,0.009,11.921,1.369,21.322,128.454,0.628
31,0.004,13.562,5.991,19.877,111.801,0.237
32,0.006,20.795,9.072,26.048,130.365,0.395
33,0.003,19.700,10.328,24.781,8.746,0.194
34,0.002,14.354,8.262,17.265,180.000,0.149
35,0.003,13.442,8.236,21.089,-65.556,0.176
36,0.003,9.209,3.405,19.058,111.801,0.157
37,0.003,14.912,2.846,23.846,77.005,0.194
38,0.002,12.750,1.000,28.000,90.000,0.102
39,0.001,12.206,3.000,21.000,128.660,0.093
40,0.002,17.782,6.150,26.000,150.945,0.150
