 ,Area,Mean,Min,Max,Angle,Length
1,0.224,19.749,14.000,21.917,-28.968,3.745
2,0.089,14.770,4.000,18.933,112.620,1.489
3,0.093,20.688,18.722,22.538,-6.843,1.499
4,0.058,17.809,10.000,20.333,0.000,0.939
5,0.334,16.843,14.000,20.569,87.614,5.635
6,0.162,17.610,14.174,21.333,-14.931,2.713
7,0.217,19.664,14.520,21.846,-30.324,3.628
8,0.093,16.310,12.000,19.513,139.899,1.497
9,0.096,15.738,12.667,19.185,180.000,1.565
10,0.083,16.202,5.604,20.713,160.017,1.373
11,0.368,18.271,13.000,23.000,-80.272,6.229
12,0.337,16.458,8.639,22.828,64.231,5.666
13,0.230,20.247,13.000,23.000,88.264,3.872
14,0.406,19.067,6.667,22.576,101.788,6.871
15,0.196,14.500,4.000,17.857,63.886,3.305
16,0.148,18.902,6.000,21.569,-73.686,2.487
17,0.172,15.910,10.333,21.185,81.870,2.881
18,0.100,12.902,3.265,18.333,130.601,1.637
19,0.131,17.803,14.000,23.000,67.620,2.142
20,0.120,16.475,3.784,21.889,137.386,1.991
