 ,Area,Mean,Min,Max,Angle,Length
1,0.006,12.306,1.000,19.506,34.287,0.392
2,0.004,11.603,1.000,22.667,-177.138,0.291
3,0.005,18.197,7.919,24.543,68.629,0.356
4,0.004,22.666,11.000,28.211,108.435,0.264
5,0.005,18.530,8.314,24.226,68.199,0.313
6,0.011,13.931,5.218,21.800,94.667,0.719
7,0.003,12.106,3.588,15.874,19.983,0.166
8,0.006,11.477,3.975,16.684,151.557,0.399
9,0.005,13.049,2.481,23.000,152.241,0.303
10,0.007,9.955,2.873,17.809,115.017,0.486
11,0.005,10.800,2.012,17.797,123.690,0.306
12,0.003,21.007,7.667,26.160,45.000,0.219
13,0.011,16.478,3.797,26.451,117.553,0.746
14,0.007,16.009,3.622,23.370,79.046,0.452
15,0.004,21.234,9.133,26.600,49.086,0.288
16,0.007,15.990,3.000,27.000,-10.620,0.472
17,0.003,13.650,3.578,22.667,123.690,0.210
18,0.006,14.177,2.380,22.278,148.671,0.392
19,0.008,13.781,6.576,21.529,10.176,0.570
20,0.009,19.714,5.888,27.522,102.680,0.597
21,0.007,15.040,5.662,24.974,15.709,0.484
22,0.007,13.813,1.556,21.556,98.881,0.472
23,0.007,16.621,1.000,25.520,140.194,0.454
24,0.002,11.152,1.720,15.000,-167.471,0.141
25,0.007,19.323,8.663,25.446,-154.983,0.494
26,0.005,11.204,2.898,19.975,-174.806,0.312
27,0.002,10.148,4.667,16.500,97.125,0.118
28,0.003,21.265,8.000,28.000,104.036,0.179
29,0.002,12.766,1.333,20.000,125.538,0.124
30,0.003,18.874,14.000,22.000,79.695,0.160
31,0.017,12.562,8.750,17.312,-33.690,0.252
32,0.021,15.427,9.500,17.740,-63.435,0.289
33,0.017,9.400,4.250,13.000,180.000,0.205
34,0.017,11.550,6.500,17.000,56.310,0.211
35,0.024,8.476,2.000,14.000,120.964,0.342
36,0.014,8.271,6.000,12.583,146.310,0.171
37,0.031,7.358,2.000,13.172,164.055,0.464
38,0.041,11.154,1.778,17.691,-164.745,0.645
39,0.017,10.775,8.219,16.250,75.964,0.213
40,0.021,8.350,2.900,11.000,126.870,0.302
