 ,Area,Mean,Min,Max,Angle,Length
1,0.003,23.255,12.400,30.613,-23.199,0.221
2,0.005,7.234,2.000,16.750,-27.646,0.345
3,0.002,21.931,17.000,24.000,-45.000,0.103
4,0.003,5.041,1.000,10.102,33.690,0.210
5,0.002,6.041,4.222,10.333,-110.556,0.124
6,0.002,6.264,1.500,16.000,-82.875,0.117
7,0.005,13.069,2.052,21.750,38.290,0.352
8,0.002,9.736,1.000,17.600,-73.301,0.152
9,0.002,10.167,2.000,19.667,-71.565,0.138
10,0.001,4.875,3.500,7.000,-33.690,0.052
11,8.451E-4,5.213,1.889,9.556,-33.690,0.048
12,8.451E-4,5.528,4.000,6.778,-45.000,0.043
13,0.002,7.588,2.020,13.068,71.565,0.095
14,0.002,6.332,4.531,11.327,-45.000,0.103
15,0.002,12.209,2.000,22.000,-23.962,0.143
16,0.003,12.179,1.000,22.167,-9.462,0.177
17,0.005,8.279,1.435,15.174,-97.431,0.337
18,0.002,8.789,0.000,16.407,57.995,0.137
19,0.001,6.690,2.000,15.000,9.462,0.088
20,8.451E-4,5.250,2.842E-13,11.000,18.435,0.046
21,0.001,4.600,2.000,10.000,-26.565,0.065
22,0.002,5.673,1.444,10.988,-54.462,0.125
23,0.003,8.327,2.000,16.751,-45.000,0.185
24,0.003,18.544,2.000,22.253,23.199,0.221
25,0.004,22.442,18.000,27.630,-109.440,0.262
26,0.003,28.082,8.000,32.059,-45.000,0.185
27,0.002,8.409,1.000,15.000,-84.289,0.146
28,0.001,5.207,4.000,6.840,-36.870,0.073
29,0.002,5.278,0.000,11.000,7.125,0.117
30,0.002,11.967,2.000,22.556,-6.340,0.132
31,0.002,5.946,2.898,7.531,-26.565,0.098
32,0.005,21.563,10.000,26.512,-41.424,0.330
33,0.004,21.888,18.000,26.296,-33.690,0.262
34,0.003,17.716,2.000,22.500,-55.008,0.177
35,0.005,6.755,1.000,15.000,-92.291,0.364
36,0.006,23.646,8.000,28.923,14.036,0.420
37,0.003,23.929,8.000,32.000,98.746,0.191
38,0.001,5.200,1.800,7.000,11.310,0.074
39,0.001,4.800,1.000,7.750,-45.000,0.062
40,0.003,15.674,3.000,22.727,-10.305,0.163
