 ,Area,Mean,Min,Max,Angle,Length
1,0.037,11.449,4.662,16.772,135.000,0.573
2,0.027,7.713,4.635,11.708,156.801,0.436
3,0.017,4.954,2.225,10.307,90.000,0.207
4,0.017,10.869,6.838,13.859,-146.310,0.259
5,0.027,10.757,3.534,13.181,23.199,0.436
6,0.034,10.181,5.646,12.812,-12.529,0.533
7,0.020,10.060,4.219,14.502,59.036,0.292
8,0.020,11.747,5.858,16.013,90.000,0.286
9,0.024,12.615,7.241,18.553,101.310,0.334
10,0.024,5.011,0.927,8.965,116.565,0.362
11,0.054,6.928,2.783,17.822,-12.095,0.866
12,0.020,14.202,4.612,22.658,45.000,0.316
13,0.034,15.889,15.000,16.436,122.005,0.543
14,0.088,9.657,2.393,17.584,71.565,1.486
15,0.024,11.822,3.093,17.396,71.565,0.373
16,0.017,10.389,2.420,17.908,123.690,0.218
17,0.017,8.061,5.020,11.688,90.000,0.246
18,0.020,6.089,2.022,10.712,126.870,0.292
19,0.024,6.555,3.091,11.171,59.036,0.327
20,0.034,10.544,4.977,13.072,54.462,0.519
