 ,Area,Mean,Min,Max,Angle,Length
1,0.332,16.860,4.058,23.865,-5.356,5.631
2,0.434,14.596,3.930,24.000,152.819,7.340
3,0.219,16.518,5.276,21.263,155.480,3.672
4,0.229,15.973,7.817,21.222,-0.868,3.860
5,0.202,17.182,8.451,21.672,-56.310,3.369
6,0.325,14.534,0.000,24.326,83.254,5.483
7,0.079,17.615,13.472,21.705,35.838,1.276
8,0.315,16.559,6.700,21.827,-24.864,5.326
9,0.164,19.266,11.443,21.920,4.970,2.733
10,0.130,17.198,9.000,23.104,-14.036,2.178
11,0.287,17.001,4.788,27.000,-38.660,4.860
12,0.239,15.559,1.673,21.081,10.154,4.008
13,0.386,14.970,0.259,21.333,43.905,6.551
14,0.267,15.801,4.614,23.926,-58.151,4.509
15,0.246,16.186,4.217,23.065,132.709,4.140
16,0.280,18.108,4.620,25.271,14.207,4.740
17,0.239,16.120,4.032,21.940,-14.036,4.060
18,0.373,16.435,4.000,26.601,-23.691,6.295
19,0.137,17.297,5.088,21.401,-128.660,2.252
20,0.267,18.147,12.157,21.799,-35.972,4.477
