 ,Area,Mean,Min,Max,Angle,Length
1,0.005,22.886,11.000,33.860,57.724,0.333
2,0.009,19.377,6.757,31.558,8.746,0.576
3,0.003,15.863,10.274,25.654,-34.992,0.183
4,0.003,22.835,11.000,33.738,-70.017,0.170
5,0.002,26.877,11.000,34.000,-60.945,0.150
6,0.003,20.488,11.073,30.256,45.000,0.208
7,0.001,21.260,6.121,29.865,53.130,0.082
8,0.003,14.486,2.369,18.000,-10.305,0.154
9,0.008,18.460,12.739,31.306,-37.185,0.538
10,0.002,20.865,8.116,29.987,56.310,0.105
11,0.004,18.793,12.160,28.415,100.620,0.239
12,0.008,20.414,1.987,32.692,132.614,0.510
13,0.002,21.452,5.452,30.945,60.255,0.118
14,0.004,25.499,17.455,33.616,168.111,0.291
15,0.004,13.876,12.030,23.899,51.843,0.268
16,0.003,17.024,13.779,23.500,-16.699,0.158
17,0.002,20.952,0.859,30.781,84.289,0.143
18,0.005,21.240,11.000,30.743,16.699,0.308
19,0.004,21.959,11.000,34.000,75.069,0.229
20,0.003,27.377,17.731,30.686,70.017,0.164
21,0.004,24.715,16.508,31.622,38.660,0.281
22,0.003,14.844,1.000,21.772,-18.435,0.170
23,0.002,22.582,15.079,25.987,78.690,0.145
24,0.003,24.816,11.000,33.964,75.069,0.225
25,0.003,16.196,9.870,19.131,-26.565,0.159
26,0.006,16.466,12.616,25.010,-21.801,0.392
27,0.002,15.160,12.623,17.958,71.565,0.100
28,0.005,23.064,11.000,33.220,17.650,0.341
29,0.002,23.649,20.032,26.563,29.055,0.145
30,0.003,20.873,14.521,25.119,75.964,0.177
