 ,Area,Mean,Min,Max,Angle,Length
1,0.010,5.963,4.333,7.444,45.000,0.140
2,0.010,14.333,13.667,15.000,26.565,0.140
3,0.014,6.917,3.000,13.000,45.000,0.164
4,0.010,18.111,13.000,21.333,63.435,0.140
5,0.007,13.333,7.667,19.000,63.435,0.087
6,0.024,13.831,9.370,15.889,71.565,0.357
7,0.014,15.241,12.741,17.444,33.690,0.194
8,0.010,12.333,12.000,13.000,0.000,0.116
9,0.024,9.032,4.333,13.000,71.565,0.331
10,0.020,13.127,9.364,21.000,0.000,0.274
11,0.020,13.658,10.107,22.000,90.000,0.274
12,0.017,15.133,12.000,19.000,0.000,0.233
13,0.014,9.562,4.222,20.000,26.565,0.160
14,0.017,12.378,5.000,17.333,123.690,0.248
15,0.010,9.667,3.000,18.000,0.000,0.116
16,0.020,11.404,10.040,15.111,36.870,0.312
17,0.017,11.211,3.000,16.167,108.435,0.209
18,0.017,11.911,3.333,19.667,-14.036,0.245
19,0.024,13.079,4.000,16.444,-18.435,0.368
20,0.030,9.978,3.667,14.417,66.801,0.454
21,0.010,14.296,11.000,16.222,63.435,0.110
22,0.010,16.185,13.333,19.222,45.000,0.110
23,0.014,9.222,0.000,13.333,45.000,0.164
24,0.024,9.390,6.407,12.222,141.340,0.333
25,0.017,14.894,11.667,17.667,123.690,0.226
26,0.020,10.276,3.889,17.000,53.130,0.280
27,0.034,14.709,10.979,21.667,116.565,0.504
28,0.024,15.600,12.000,20.333,143.130,0.333
29,0.010,9.444,3.000,20.000,90.000,0.123
30,0.024,13.991,10.000,16.556,128.660,0.333
31,0.027,13.985,10.667,16.667,60.255,0.433
32,0.027,11.802,9.526,16.508,105.945,0.433
33,0.027,9.272,0.667,14.667,113.199,0.417
34,0.014,14.500,12.790,19.000,26.565,0.173
35,0.017,14.267,11.000,19.000,45.000,0.248
36,0.010,11.222,8.000,15.000,45.000,0.140
37,0.027,13.494,4.000,24.000,116.565,0.399
38,0.014,8.667,6.000,11.000,45.000,0.164
39,0.017,16.322,13.111,19.333,135.000,0.248
40,0.027,14.071,8.444,16.952,0.000,0.388
41,0.020,12.675,7.973,20.000,-11.310,0.320
42,0.007,8.167,5.333,11.000,90.000,0.078
43,0.014,12.664,8.222,17.000,90.000,0.160
44,0.017,7.333,3.000,11.000,165.964,0.245
45,0.014,12.735,8.617,22.000,18.435,0.198
46,0.007,9.389,7.778,11.000,45.000,0.087
47,0.017,12.644,7.667,16.000,36.870,0.248
48,0.017,7.444,4.333,10.556,33.690,0.226
49,0.014,12.111,6.000,17.000,45.000,0.164
50,0.010,10.444,9.556,10.889,90.000,0.116
51,0.017,10.461,3.667,17.667,56.310,0.226
52,0.020,9.357,5.453,12.324,90.000,0.312
53,0.014,12.667,9.000,16.111,135.000,0.164
54,0.014,5.981,1.704,10.222,146.310,0.194
55,0.020,9.399,5.427,14.040,80.538,0.312
56,0.030,11.991,2.000,16.000,110.556,0.454
57,0.014,14.080,11.951,15.704,90.000,0.160
58,0.017,12.289,7.111,14.667,0.000,0.233
59,0.024,12.524,6.333,16.667,90.000,0.349
60,0.017,9.122,2.833,16.000,116.565,0.260
