 ,Area,Mean,Min,Max,Angle,Length
1,0.031,15.377,5.751,18.502,104.036,0.454
2,0.024,17.980,13.625,19.257,99.462,0.335
3,0.024,14.535,9.204,21.096,78.690,0.335
4,0.031,16.543,14.106,19.567,90.000,0.489
5,0.014,23.937,21.657,26.123,33.690,0.203
6,0.014,17.653,15.563,18.830,56.310,0.182
7,0.027,14.765,12.059,17.200,74.055,0.385
8,0.024,16.598,8.239,19.724,99.462,0.368
9,0.014,18.780,16.284,20.009,63.435,0.146
10,0.021,14.950,6.248,19.923,68.199,0.309
11,0.014,13.299,10.452,16.744,26.565,0.168
12,0.024,11.597,2.698,19.970,90.000,0.325
13,0.017,16.112,7.875,21.453,45.000,0.260
14,0.014,10.949,8.207,12.462,0.000,0.203
15,0.021,14.985,13.479,16.881,-11.310,0.287
16,0.027,17.764,14.967,21.240,15.945,0.385
17,0.027,18.753,15.762,20.794,50.194,0.432
18,0.021,16.574,8.965,20.640,135.000,0.317
19,0.024,14.373,5.525,21.875,101.310,0.335
20,0.024,15.052,10.058,19.683,99.462,0.328
21,0.041,16.818,12.681,20.206,70.017,0.656
22,0.027,15.480,3.726,21.272,98.130,0.408
23,0.014,21.298,12.613,25.502,116.565,0.146
24,0.017,12.494,4.286,17.076,161.565,0.219
25,0.017,14.655,11.705,19.094,135.000,0.230
26,0.017,20.369,17.270,24.750,123.690,0.237
27,0.021,16.366,7.947,20.944,135.000,0.317
28,0.014,12.969,9.981,15.483,33.690,0.182
29,0.017,13.220,10.302,14.577,36.870,0.260
30,0.017,13.297,5.029,19.010,-56.310,0.237
