 ,Area,Mean,Min,Max,Angle,Length
1,0.487,20.666,6.000,27.000,64.144,8.375
2,0.753,19.414,7.801,24.891,-116.910,12.937
3,0.464,20.118,6.000,25.000,85.825,7.963
4,0.306,15.234,1.000,20.592,38.264,5.242
5,0.444,10.450,1.000,19.911,-82.550,7.600
6,0.343,13.800,1.000,19.630,142.674,5.832
7,0.444,10.054,1.000,21.523,72.672,7.591
8,0.376,11.967,1.444,18.822,26.105,6.456
9,0.192,19.140,12.714,25.034,164.476,3.249
10,0.773,9.937,1.167,23.554,-29.807,13.295
11,0.188,9.635,2.200,21.201,121.675,3.202
12,1.008,9.144,0.167,20.238,147.852,17.323
13,1.042,16.647,2.766,27.000,98.760,17.890
14,0.844,10.745,0.407,23.616,-109.160,14.483
15,0.444,8.142,0.669,21.358,-61.670,7.574
16,0.712,17.840,8.722,23.923,-118.870,12.247
17,0.474,9.951,1.000,20.312,-81.347,8.092
18,0.286,14.449,3.036,21.031,-69.842,4.879
19,0.390,17.346,1.947,23.855,69.503,6.640
20,0.188,9.155,1.294,19.793,-56.310,3.173
21,0.195,9.694,1.000,19.114,-77.905,3.320
22,0.255,17.835,2.822,23.933,83.157,4.358
23,0.212,7.827,1.344,16.618,82.528,3.586
24,0.081,13.392,5.408,18.559,23.199,1.335
25,0.084,8.719,3.111,15.889,-177.614,1.393
26,0.145,12.707,1.508,21.036,161.996,2.432
27,0.148,11.620,2.000,20.265,55.222,2.520
28,0.114,7.897,1.121,16.212,12.339,1.941
29,0.091,6.427,1.513,14.436,85.601,1.515
30,0.363,9.758,0.501,19.965,62.241,6.188
31,0.121,17.922,8.333,24.908,78.366,2.016
32,0.108,16.731,6.556,20.133,84.472,1.823
33,0.124,20.559,7.465,25.699,24.444,2.092
34,0.131,5.692,0.000,16.775,135.000,2.214
35,0.128,13.410,3.811,22.824,96.170,2.138
36,0.292,9.414,8.640E-12,21.663,81.964,4.996
37,1.052,14.657,1.125,22.836,-94.978,18.079
38,0.460,9.799,0.863,20.467,72.897,7.896
39,0.148,21.270,10.269,27.000,100.784,2.472
40,0.373,19.084,3.000,24.697,86.326,6.350
